"ProbeSet","Chr","Mb"
"10338386","Un","1.0"
"10338387","Un","1.0"
"10338388","Un","1.0"
"10338389","Un","1.0"
"10338390","Un","1.0"
"10338391","Un","1.0"
"10338392","Un","1.0"
"10338393","Un","1.0"
"10338394","Un","1.0"
"10338395","Un","1.0"
"10338396","Un","1.0"
"10338397","Un","1.0"
"10338398","Un","1.0"
"10338399","Un","1.0"
"10338400","Un","1.0"
"10338401","Un","1.0"
"10338402","Un","1.0"
"10338403","Un","1.0"
"10338404","Un","1.0"
"10338405","Un","1.0"
"10338406","Un","1.0"
"10338407","Un","1.0"
"10338408","Un","1.0"
"10338409","Un","1.0"
"10338410","Un","1.0"
"10338411","Un","1.0"
"10338412","Un","1.0"
"10338413","Un","1.0"
"10338414","Un","1.0"
"10338415","Un","1.0"
"10338416","Un","1.0"
"10338417","Un","1.0"
"10338418","Un","1.0"
"10338419","Un","1.0"
"10338420","Un","1.0"
"10338421","Un","1.0"
"10338422","Un","1.0"
"10338423","Un","1.0"
"10338424","Un","1.0"
"10338425","Un","1.0"
"10338426","Un","1.0"
"10338427","Un","1.0"
"10338428","Un","1.0"
"10338429","Un","1.0"
"10338430","Un","1.0"
"10338431","Un","1.0"
"10338432","Un","1.0"
"10338433","Un","1.0"
"10338434","Un","1.0"
"10338435","Un","1.0"
"10338436","Un","1.0"
"10338437","1","174.052013"
"10338438","Un","1.0"
"10338439","Un","1.0"
"10338440","Un","1.0"
"10338441","Un","1.0"
"10338442","Un","1.0"
"10338443","Un","1.0"
"10338444","Un","1.0"
"10338445","Un","1.0"
"10338446","Un","1.0"
"10338447","Un","1.0"
"10338448","Un","1.0"
"10338449","Un","1.0"
"10338450","Un","1.0"
"10338451","Un","1.0"
"10338452","Un","1.0"
"10338453","Un","1.0"
"10338454","Un","1.0"
"10338455","Un","1.0"
"10338456","Un","1.0"
"10338457","Un","1.0"
"10338458","Un","1.0"
"10338459","Un","1.0"
"10338460","Un","1.0"
"10338461","Un","1.0"
"10338462","Un","1.0"
"10338463","Un","1.0"
"10338464","Un","1.0"
"10338465","Un","1.0"
"10338466","Un","1.0"
"10338467","Un","1.0"
"10338468","Un","1.0"
"10338469","Un","1.0"
"10338470","Un","1.0"
"10338471","Un","1.0"
"10338472","Un","1.0"
"10338473","Un","1.0"
"10338474","Un","1.0"
"10338475","Un","1.0"
"10338476","Un","1.0"
"10338477","Un","1.0"
"10338478","Un","1.0"
"10338479","Un","1.0"
"10338480","Un","1.0"
"10338481","Un","1.0"
"10338482","Un","1.0"
"10338483","Un","1.0"
"10338484","Un","1.0"
"10338485","Un","1.0"
"10338486","Un","1.0"
"10338487","Un","1.0"
"10338488","Un","1.0"
"10338489","Un","1.0"
"10338490","Un","1.0"
"10338491","Un","1.0"
"10338492","Un","1.0"
"10338493","Un","1.0"
"10338494","Un","1.0"
"10338495","Un","1.0"
"10338496","Un","1.0"
"10338497","Un","1.0"
"10338498","Un","1.0"
"10338499","Un","1.0"
"10338500","Un","1.0"
"10338501","Un","1.0"
"10338502","Un","1.0"
"10338503","Un","1.0"
"10338504","Un","1.0"
"10338505","Un","1.0"
"10338506","Un","1.0"
"10338507","Un","1.0"
"10338508","Un","1.0"
"10338509","Un","1.0"
"10338510","Un","1.0"
"10338511","Un","1.0"
"10338512","2","128.484632"
"10338513","Un","1.0"
"10338514","Un","1.0"
"10338515","Un","1.0"
"10338516","Un","1.0"
"10338517","Un","1.0"
"10338518","Un","1.0"
"10338519","Un","1.0"
"10338520","Un","1.0"
"10338521","Un","1.0"
"10338522","Un","1.0"
"10338523","Un","1.0"
"10338524","Un","1.0"
"10338525","Un","1.0"
"10338526","Un","1.0"
"10338527","Un","1.0"
"10338528","Un","1.0"
"10338529","Un","1.0"
"10338530","Un","1.0"
"10338531","Un","1.0"
"10338532","Un","1.0"
"10338533","Un","1.0"
"10338534","Un","1.0"
"10338535","Un","1.0"
"10338536","Un","1.0"
"10338537","10","14.423167"
"10338538","Un","1.0"
"10338539","Un","1.0"
"10338540","Un","1.0"
"10338541","Un","1.0"
"10338542","Un","1.0"
"10338543","Un","1.0"
"10338544","Un","1.0"
"10338545","Un","1.0"
"10338546","Un","1.0"
"10338547","Un","1.0"
"10338548","Un","1.0"
"10338549","Un","1.0"
"10338550","Un","1.0"
"10338551","Un","1.0"
"10338552","Un","1.0"
"10338553","Un","1.0"
"10338554","Un","1.0"
"10338555","Un","1.0"
"10338556","Un","1.0"
"10338557","Un","1.0"
"10338558","Un","1.0"
"10338559","Un","1.0"
"10338560","Un","1.0"
"10338561","Un","1.0"
"10338562","Un","1.0"
"10338563","Un","1.0"
"10338564","Un","1.0"
"10338565","Un","1.0"
"10338566","Un","1.0"
"10338567","Un","1.0"
"10338568","Un","1.0"
"10338569","Un","1.0"
"10338570","Un","1.0"
"10338571","Un","1.0"
"10338572","Un","1.0"
"10338573","Un","1.0"
"10338574","Un","1.0"
"10338575","Un","1.0"
"10338576","Un","1.0"
"10338577","Un","1.0"
"10338578","Un","1.0"
"10338579","Un","1.0"
"10338580","Un","1.0"
"10338581","Un","1.0"
"10338582","Un","1.0"
"10338583","Un","1.0"
"10338584","Un","1.0"
"10338585","10","59.762899"
"10338586","Un","1.0"
"10338587","Un","1.0"
"10338588","Un","1.0"
"10338589","Un","1.0"
"10338590","Un","1.0"
"10338591","Un","1.0"
"10338592","Un","1.0"
"10338593","Un","1.0"
"10338594","Un","1.0"
"10338595","Un","1.0"
"10338596","Un","1.0"
"10338597","Un","1.0"
"10338598","Un","1.0"
"10338599","Un","1.0"
"10338600","Un","1.0"
"10338601","5","73.41519"
"10338602","Un","1.0"
"10338603","Un","1.0"
"10338604","Un","1.0"
"10338605","Un","1.0"
"10338606","Un","1.0"
"10338607","Un","1.0"
"10338608","Un","1.0"
"10338609","Un","1.0"
"10338610","Un","1.0"
"10338611","Un","1.0"
"10338612","Un","1.0"
"10338613","Un","1.0"
"10338614","Un","1.0"
"10338615","Un","1.0"
"10338616","Un","1.0"
"10338617","Un","1.0"
"10338618","Un","1.0"
"10338619","Un","1.0"
"10338620","Un","1.0"
"10338621","Un","1.0"
"10338622","Un","1.0"
"10338623","Un","1.0"
"10338624","Un","1.0"
"10338625","Un","1.0"
"10338626","Un","1.0"
"10338627","Un","1.0"
"10338628","Un","1.0"
"10338629","Un","1.0"
"10338630","Un","1.0"
"10338631","Un","1.0"
"10338632","Un","1.0"
"10338633","Un","1.0"
"10338634","Un","1.0"
"10338635","Un","1.0"
"10338636","Un","1.0"
"10338637","Un","1.0"
"10338638","Un","1.0"
"10338639","8","24.355953"
"10338640","Un","1.0"
"10338641","Un","1.0"
"10338642","Un","1.0"
"10338643","Un","1.0"
"10338644","Un","1.0"
"10338645","Un","1.0"
"10338646","Un","1.0"
"10338647","Un","1.0"
"10338648","Un","1.0"
"10338649","Un","1.0"
"10338650","Un","1.0"
"10338651","Un","1.0"
"10338652","Un","1.0"
"10338653","Un","1.0"
"10338654","Un","1.0"
"10338655","Un","1.0"
"10338656","Un","1.0"
"10338657","Un","1.0"
"10338658","Un","1.0"
"10338659","Un","1.0"
"10338660","Un","1.0"
"10338661","Un","1.0"
"10338662","Un","1.0"
"10338663","Un","1.0"
"10338664","Un","1.0"
"10338665","Un","1.0"
"10338666","Un","1.0"
"10338667","Un","1.0"
"10338668","Un","1.0"
"10338669","Un","1.0"
"10338670","Un","1.0"
"10338671","Un","1.0"
"10338672","Un","1.0"
"10338673","Un","1.0"
"10338674","14","71.083519"
"10338675","Un","1.0"
"10338676","Un","1.0"
"10338677","Un","1.0"
"10338678","Un","1.0"
"10338679","Un","1.0"
"10338680","Un","1.0"
"10338681","Un","1.0"
"10338682","Un","1.0"
"10338683","Un","1.0"
"10338684","18","75.166511"
"10338685","Un","1.0"
"10338686","Un","1.0"
"10338687","Un","1.0"
"10338688","Un","1.0"
"10338689","Un","1.0"
"10338690","Un","1.0"
"10338691","Un","1.0"
"10338692","Un","1.0"
"10338693","Un","1.0"
"10338694","Un","1.0"
"10338695","Un","1.0"
"10338696","Un","1.0"
"10338697","Un","1.0"
"10338698","Un","1.0"
"10338699","Un","1.0"
"10338700","Un","1.0"
"10338701","Un","1.0"
"10338702","Un","1.0"
"10338703","Un","1.0"
"10338704","Un","1.0"
"10338705","Un","1.0"
"10338706","Un","1.0"
"10338707","Un","1.0"
"10338708","Un","1.0"
"10338709","Un","1.0"
"10338710","Un","1.0"
"10338711","Un","1.0"
"10338712","Un","1.0"
"10338713","2","128.485168"
"10338714","Un","1.0"
"10338715","Un","1.0"
"10338716","Un","1.0"
"10338717","Un","1.0"
"10338718","Un","1.0"
"10338719","Un","1.0"
"10338720","Un","1.0"
"10338721","Un","1.0"
"10338722","Un","1.0"
"10338723","Un","1.0"
"10338724","Un","1.0"
"10338725","Un","1.0"
"10338726","Un","1.0"
"10338727","Un","1.0"
"10338728","Un","1.0"
"10338729","Un","1.0"
"10338730","Un","1.0"
"10338731","Un","1.0"
"10338732","Un","1.0"
"10338733","Un","1.0"
"10338734","Un","1.0"
"10338735","Un","1.0"
"10338736","Un","1.0"
"10338737","Un","1.0"
"10338738","Un","1.0"
"10338739","Un","1.0"
"10338740","Un","1.0"
"10338741","4","129.27912"
"10338742","Un","1.0"
"10338743","4","129.280581"
"10338744","Un","1.0"
"10338745","Un","1.0"
"10338746","Un","1.0"
"10338747","Un","1.0"
"10338748","Un","1.0"
"10338749","Un","1.0"
"10338750","Un","1.0"
"10338751","Un","1.0"
"10338752","Un","1.0"
"10338753","Un","1.0"
"10338754","Un","1.0"
"10338755","Un","1.0"
"10338756","Un","1.0"
"10338757","Un","1.0"
"10338758","Un","1.0"
"10338759","Un","1.0"
"10338760","Un","1.0"
"10338761","Un","1.0"
"10338762","Un","1.0"
"10338763","11","57.619618"
"10338764","Un","1.0"
"10338765","Un","1.0"
"10338766","Un","1.0"
"10338767","Un","1.0"
"10338768","Un","1.0"
"10338769","Un","1.0"
"10338770","Un","1.0"
"10338771","Un","1.0"
"10338772","Un","1.0"
"10338773","Un","1.0"
"10338774","Un","1.0"
"10338775","Un","1.0"
"10338776","Un","1.0"
"10338777","Un","1.0"
"10338778","Un","1.0"
"10338779","Un","1.0"
"10338780","Un","1.0"
"10338781","Un","1.0"
"10338782","Un","1.0"
"10338783","Un","1.0"
"10338784","Un","1.0"
"10338785","Un","1.0"
"10338786","Un","1.0"
"10338787","Un","1.0"
"10338788","Un","1.0"
"10338789","Un","1.0"
"10338790","4","137.794478"
"10338791","Un","1.0"
"10338792","Un","1.0"
"10338793","6","87.955718"
"10338794","Un","1.0"
"10338795","Un","1.0"
"10338796","Un","1.0"
"10338797","Un","1.0"
"10338798","Un","1.0"
"10338799","Un","1.0"
"10338800","Un","1.0"
"10338801","Un","1.0"
"10338802","14","55.235633"
"10338803","Un","1.0"
"10338804","Un","1.0"
"10338805","Un","1.0"
"10338806","Un","1.0"
"10338807","Un","1.0"
"10338808","Un","1.0"
"10338809","Un","1.0"
"10338810","Un","1.0"
"10338811","Un","1.0"
"10338812","10","61.149123"
"10338813","Un","1.0"
"10338814","Un","1.0"
"10338815","Un","1.0"
"10338816","Un","1.0"
"10338817","Un","1.0"
"10338818","Un","1.0"
"10338819","Un","1.0"
"10338820","Un","1.0"
"10338821","Un","1.0"
"10338822","Un","1.0"
"10338823","Un","1.0"
"10338824","Un","1.0"
"10338825","Un","1.0"
"10338826","Un","1.0"
"10338827","Un","1.0"
"10338828","Un","1.0"
"10338829","Un","1.0"
"10338830","Un","1.0"
"10338831","5","33.602364"
"10338832","Un","1.0"
"10338833","Un","1.0"
"10338834","Un","1.0"
"10338835","4","146.0"
"10338836","Un","1.0"
"10338837","Un","1.0"
"10338838","Un","1.0"
"10338839","Un","1.0"
"10338840","Un","1.0"
"10338841","Un","1.0"
"10338842","Un","1.0"
"10338843","Un","1.0"
"10338844","Un","1.0"
"10338845","Un","1.0"
"10338846","Un","1.0"
"10338847","Un","1.0"
"10338848","Un","1.0"
"10338849","Un","1.0"
"10338850","Un","1.0"
"10338851","Un","1.0"
"10338852","Un","1.0"
"10338853","Un","1.0"
"10338854","Un","1.0"
"10338855","Un","1.0"
"10338856","Un","1.0"
"10338857","Un","1.0"
"10338858","Un","1.0"
"10338859","2","154.975843"
"10338860","Un","1.0"
"10338861","Un","1.0"
"10338862","Un","1.0"
"10338863","Un","1.0"
"10338864","Un","1.0"
"10338865","Un","1.0"
"10338866","Un","1.0"
"10338867","Un","1.0"
"10338868","Un","1.0"
"10338869","Un","1.0"
"10338870","Un","1.0"
"10338871","Un","1.0"
"10338872","Un","1.0"
"10338873","Un","1.0"
"10338874","4","108.514685"
"10338875","Un","1.0"
"10338876","Un","1.0"
"10338877","Un","1.0"
"10338878","Un","1.0"
"10338879","Un","1.0"
"10338880","Un","1.0"
"10338881","Un","1.0"
"10338882","Un","1.0"
"10338883","Un","1.0"
"10338884","Un","1.0"
"10338885","Un","1.0"
"10338886","Un","1.0"
"10338887","2","25.135253"
"10338888","Un","1.0"
"10338889","Un","1.0"
"10338890","Un","1.0"
"10338891","Un","1.0"
"10338892","Un","1.0"
"10338893","Un","1.0"
"10338894","Un","1.0"
"10338895","Un","1.0"
"10338896","Un","1.0"
"10338897","Un","1.0"
"10338898","Un","1.0"
"10338899","Un","1.0"
"10338900","Un","1.0"
"10338901","Un","1.0"
"10338902","Un","1.0"
"10338903","Un","1.0"
"10338904","Un","1.0"
"10338905","Un","1.0"
"10338906","Un","1.0"
"10338907","1","174.024663"
"10338908","Un","1.0"
"10338909","Un","1.0"
"10338910","Un","1.0"
"10338911","Un","1.0"
"10338912","Un","1.0"
"10338913","Un","1.0"
"10338914","Un","1.0"
"10338915","Un","1.0"
"10338916","Un","1.0"
"10338917","Un","1.0"
"10338918","Un","1.0"
"10338919","Un","1.0"
"10338920","Un","1.0"
"10338921","Un","1.0"
"10338922","Un","1.0"
"10338923","Un","1.0"
"10338924","Un","1.0"
"10338925","6","87.978716"
"10338926","Un","1.0"
"10338927","Un","1.0"
"10338928","Un","1.0"
"10338929","Un","1.0"
"10338930","Un","1.0"
"10338931","Un","1.0"
"10338932","Un","1.0"
"10338933","Un","1.0"
"10338934","11","29.443208"
"10338935","Un","1.0"
"10338936","Un","1.0"
"10338937","Un","1.0"
"10338938","Un","1.0"
"10338939","Un","1.0"
"10338940","Un","1.0"
"10338941","Un","1.0"
"10338942","Un","1.0"
"10338943","Un","1.0"
"10338944","Un","1.0"
"10338945","Un","1.0"
"10338946","Un","1.0"
"10338947","17","34.077051"
"10338948","Un","1.0"
"10338949","Un","1.0"
"10338950","Un","1.0"
"10338951","Un","1.0"
"10338952","Un","1.0"
"10338953","Un","1.0"
"10338954","X","148.367181"
"10338955","Un","1.0"
"10338956","Un","1.0"
"10338957","Un","1.0"
"10338958","Un","1.0"
"10338959","Un","1.0"
"10338960","Un","1.0"
"10338961","Un","1.0"
"10338962","Un","1.0"
"10338963","7","121.413532"
"10338964","Un","1.0"
"10338965","Un","1.0"
"10338966","Un","1.0"
"10338967","Un","1.0"
"10338968","Un","1.0"
"10338969","Un","1.0"
"10338970","Un","1.0"
"10338971","Un","1.0"
"10338972","Un","1.0"
"10338973","Un","1.0"
"10338974","Un","1.0"
"10338975","Un","1.0"
"10338976","Un","1.0"
"10338977","Un","1.0"
"10338978","Un","1.0"
"10338979","Un","1.0"
"10338980","Un","1.0"
"10338981","Un","1.0"
"10338982","Un","1.0"
"10338983","Un","1.0"
"10338984","Un","1.0"
"10338985","Un","1.0"
"10338986","Un","1.0"
"10338987","Un","1.0"
"10338988","Un","1.0"
"10338989","Un","1.0"
"10338990","Un","1.0"
"10338991","Un","1.0"
"10338992","Un","1.0"
"10338993","Un","1.0"
"10338994","Un","1.0"
"10338995","Un","1.0"
"10338996","Un","1.0"
"10338997","Un","1.0"
"10338998","Un","1.0"
"10338999","Un","1.0"
"10339000","Un","1.0"
"10339001","2","128.481643"
"10339002","Un","1.0"
"10339003","Un","1.0"
"10339004","Un","1.0"
"10339005","Un","1.0"
"10339006","Un","1.0"
"10339007","Un","1.0"
"10339008","Un","1.0"
"10339009","Un","1.0"
"10339010","Un","1.0"
"10339011","Un","1.0"
"10339012","Un","1.0"
"10339013","Un","1.0"
"10339014","Un","1.0"
"10339015","Un","1.0"
"10339016","Un","1.0"
"10339017","Un","1.0"
"10339018","Un","1.0"
"10339019","Un","1.0"
"10339020","Un","1.0"
"10339021","Un","1.0"
"10339022","Un","1.0"
"10339023","Un","1.0"
"10339024","Un","1.0"
"10339025","Un","1.0"
"10339026","Un","1.0"
"10339027","Un","1.0"
"10339028","Un","1.0"
"10339029","Un","1.0"
"10339030","Un","1.0"
"10339031","Un","1.0"
"10339032","Un","1.0"
"10339033","Un","1.0"
"10339034","Un","1.0"
"10339035","Un","1.0"
"10339036","Un","1.0"
"10339037","Un","1.0"
"10339038","Un","1.0"
"10339039","Un","1.0"
"10339040","Un","1.0"
"10339041","Un","1.0"
"10339042","Un","1.0"
"10339043","Un","1.0"
"10339044","Un","1.0"
"10339045","Un","1.0"
"10339046","Un","1.0"
"10339047","Un","1.0"
"10339048","Un","1.0"
"10339049","Un","1.0"
"10339050","Un","1.0"
"10339051","Un","1.0"
"10339052","Un","1.0"
"10339053","Un","1.0"
"10339054","Un","1.0"
"10339055","Un","1.0"
"10339056","Un","1.0"
"10339057","Un","1.0"
"10339058","Un","1.0"
"10339059","Un","1.0"
"10339060","Un","1.0"
"10339061","Un","1.0"
"10339062","Un","1.0"
"10339063","Un","1.0"
"10339064","Un","1.0"
"10339065","11","50.1144"
"10339066","Un","1.0"
"10339067","Un","1.0"
"10339068","Un","1.0"
"10339069","Un","1.0"
"10339070","Un","1.0"
"10339071","5","90.644175"
"10339072","Un","1.0"
"10339073","Un","1.0"
"10339074","Un","1.0"
"10339075","Un","1.0"
